Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.7450547937024895,0.9198461045206797,0.8211949517842065,0.7259979071517462,0.7623901463902195,0.904
RidgeClassifier,0.6689473823419801,0.905418403334402,0.7984510523984396,0.6306143676950945,0.6714775432323705,0.9
SGDClassifier,0.6562594878507989,0.9015710163513947,0.7927912952846463,0.6018903380867114,0.6375612859904379,0.9
SVC,0.6408573906538009,0.9214491824302661,0.888939017971276,0.6725140652326627,0.7281806989817026,0.896
GaussianNB,0.5803869556159426,0.6546970182750882,0.5913364492311861,0.7248602857029698,0.5547048210043988,0.654
KNeighborsClassifier,0.6301315293391285,0.9204873356845142,0.8581732591307123,0.6871504536936479,0.7380191779856883,0.89
DecisionTreeClassifier,0.7230191063302048,1.0,1.0,1.0,1.0,0.878
RandomForestClassifier,0.6951274961948103,1.0,1.0,1.0,1.0,0.898
AdaBoostClassifier,0.7348782527908945,0.9208079512664316,0.8282100898410505,0.7227445078367162,0.7619199488728952,0.92
ExtraTreesClassifier,0.6655044361814918,1.0,1.0,1.0,1.0,0.89
GradientBoostingClassifier,0.7412690541883061,0.9506252003847387,0.9099463959583501,0.8242533805544381,0.8604965507947462,0.91
XGBClassifier,0.7448415742504091,0.9996793844180827,0.9998197548666186,0.9985549132947977,0.9991862721847796,0.91
