Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.8884860787326337,0.8954201226108908,0.8966755305443712,0.8954201226108908,0.8953373128850406,0.852
RidgeClassifier,0.8899223321197737,0.8916336098088713,0.8953540213370639,0.8916336098088713,0.8913780677711858,0.826
SGDClassifier,0.86990745907208,0.8855030652722683,0.8914928657083842,0.8855030652722683,0.8850634358803996,0.82
SVC,0.9130227133553541,0.9332852506310855,0.9369513206075846,0.9332852506310855,0.9331450204602914,0.866
GaussianNB,0.6945210364882627,0.6813919942300757,0.7232736387024565,0.6813919942300757,0.6657157432455596,0.498
KNeighborsClassifier,0.8841763817098344,0.926974395961053,0.9362806796727501,0.926974395961053,0.9265828816420791,0.802
DecisionTreeClassifier,0.9160447373157083,1.0,1.0,1.0,1.0,0.872
RandomForestClassifier,0.9568354477852714,1.0,1.0,1.0,1.0,0.886
AdaBoostClassifier,0.919682021366864,0.9334655607645149,0.9335007954319627,0.933465560764515,0.933464208767874,0.914
ExtraTreesClassifier,0.9700600963784822,1.0,1.0,1.0,1.0,0.888
GradientBoostingClassifier,0.925136662452218,0.9628561125135232,0.9630449548962693,0.9628561125135233,0.9628523250543489,0.892
XGBClassifier,0.9260838993544942,1.0,1.0,1.0,1.0,0.904
