Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.8174881039564506,0.94675,0.8880121720338192,0.7785190818584071,0.82191376236649,0.948
RidgeClassifier,0.6820908086736804,0.926,0.900247993782691,0.6320404682890856,0.6854406859093368,0.92
SGDClassifier,0.8011883072821572,0.94475,0.8603923984710983,0.7995252581120944,0.8263326464566849,0.948
SVC,0.7948712890271419,0.953,0.9403644331680314,0.7749930862831859,0.8341787570639408,0.948
GaussianNB,0.7185321291203266,0.91775,0.7721770070337626,0.6926507190265487,0.7233777925758047,0.914
KNeighborsClassifier,0.8041764595369063,0.96325,0.9482733374008542,0.8307061209439528,0.8784551149002247,0.934
DecisionTreeClassifier,0.9422098919058227,1.0,1.0,1.0,1.0,0.988
RandomForestClassifier,0.9531199000032423,1.0,1.0,1.0,1.0,0.994
AdaBoostClassifier,0.894790595231498,0.9715,0.9419991854002706,0.8876405789085546,0.9125656907770607,0.96
ExtraTreesClassifier,0.8966180620796789,1.0,1.0,1.0,1.0,0.974
GradientBoostingClassifier,0.9541659167522806,0.994,0.9930122612485001,0.9722414269911505,0.982344827586207,0.988
XGBClassifier,0.9571184395202889,1.0,1.0,1.0,1.0,0.992
